Especie,nombrecomun
Accipiter striatus,Esparvero Estriado
Busarellus nigricollis,Aguilucho Pampa
Buteo albicaudatus,Aguilucho Langostero
Buteo swainsoni,Aguilucho Langostero
Buteogallus meridionalis,Aguilucho Colorado
Circus buffoni,Gavilán Planeador
Circus cinereus,Gavilán Ceniciento
Elanus leucurus,Milano Blanco
Geranospiza caerulescens,Gavilán Patas Largas
Parabuteo unicinctus,Gavilán Mixto
Rostrhamus sociabilis,Caracolero
Rupornis magnirostris,Taguató
Spizaetus melanoleucus,Águila Viuda
Cathartes aura,Jote Cabeza Colorada
Coragyps atratus,Jote Cabeza Negra
Pandion haliaetus,Águila Pescadora
Amazonetta brasiliensis,Pato Cutirí
Anas bahamensis,Pato Gargantilla
Anas cyanoptera,Pato Colorado
Anas flavirostris,Pato Barcino
Anas georgica,Pato Maicero
Anas sibilatrix,Pato Overo
Callonetta leucophrys,Pato de Collar
Coscoroba coscoroba,Coscoroba
Cygnus melancoryphus,Cisne Cuello Negro
Dendrocygna autumnalis,Sirirí Vientre Negro
Dendrocygna bicolor,Sirirí Colorado
Dendrocygna viduata,Sirirí Pampa
Heteronetta atricapilla,Pato Cabeza Negra
Netta peposaca,Pato Picazo
Nomonyx dominicus,Pato Fierro
Sarkidiornis melanotos,Pato Crestudo Africano
Spatula platalea,Pato Cuchara
Spatula versicolor,Pato Capuchino
Chauna torquata,Chajá
Chlorostilbon lucidus,Picaflor Verde
Heliomaster furcifer,Picaflor de Barbijo
Hylocharis chrysura,Picaflor Bronceado
Leucochloris albicollis,Picaflor Garganta Blanca
Caprimulgus longirostris,Atajacaminos Ñañarca
Caprimulgus parvulus,Atajacaminos Chico
Hydropsalis torquata,Atajacaminos Tijera
Podager nacunda,Ñacundá
Charadrius collaris,Chorlito de Collar
Charadrius modestus,Chorlito Pecho Canela
Pluvialis dominica,Chorlo Pampa
Vanellus chilensis,Tero
Jacana jacana,Jacana
Chroicocephalus cirrocephalus,Gaviota capucho gris
Chroicocephalus maculipennis,Gaviota capucho café
Larus dominicanus,Gaviota Cocinera
Phaetusa simplex,Atí
Rynchops niger,Rayador
Sterna trudeaui,Gaviotín Lagunero
Sternula superciliaris,Gaviotín de Río
Himantopus mexicanus,Tero real
Nycticryphes semicollaris,Aguatero
Actitis macularius,Playerito Manchado
Bartramia longicauda,Batitú
Calidris bairdii,Playerito Unicolor
Calidris fuscicollis,Playerito Rabadilla Blanca
Calidris melanotos,Playerito Pectoral
Gallinago paraguaiae,Becasina de Bañado
Phalaropus tricolor,Falaropo común
Tringa flavipes,Pitotoy Chico
Tringa melanoleuca,Pitotoy Grande
Tringa solitaria,Pitotoy Solitario
Tryngites subruficollis,Playerito Canela
Ciconia maguari,Cigüeña Americana
Mycteria americana,Tuyuyú
Columba livia,Paloma Doméstica
Columbina picui,Torcacita Picuí
Columbina talpacoti,Torcacita Colorada
Leptotila verreauxi,Yerutí Gris
Patagioenas maculosa,Paloma Manchada
Patagioenas picazuro,Paloma Picazuró
Zenaida auriculata,Torcaza
Chloroceryle amazona,Martín Pescador Mediano
Chloroceryle americana,Martín Pescador Chico
Megaceryle torquata,Martín Pescador Grande
Coccycua cinerea,Cuclillo Chico
Coccyzus melacoryphus,Cuclillo Canela
Guira guira,Pirincho
Tapera naevia,Crespín
Caracara plancus,Carancho
Falco femoralis,Halcón Plomizo
Falco peregrinus,Halcón Peregrino
Falco sparverius,Halconcito Colorado
Milvago chimachima,Chimachima
Milvago chimango,Chimango
Aramus guarauna,Carau
Aramides cajanea,Chiricote
Aramides ypecaha,Ipacaá
Fulica armillata,Gallareta Ligas Rojas
Fulica leucoptera,Gallareta Chica
Fulica rufifrons,Gallareta Escudete Rojo
Gallinula chloropus,Pollona Negra
Gallinula melanops,Pollona Pintada
Laterallus melanophaius,Burrito Canela
Pardirallus maculatus,Gallineta Overa
Pardirallus sanguinolentus,Gallineta Pico Pintado
Porphyrio martinica,Pollona azul
Cyanoloxia brissonii,Reinamora Grande
Cyanoloxia glaucocaerulea,Reinamora chica
Piranga flava,Fueguero común
Saltator aurantiirostris,Pepitero de collar
Saltator coerulescens,Pepitero gris
Saltator similis,Pepitero verdoso
Pachyramphus polychopterus,Anambé Negro
Phytotoma rutila,Cortarramas
Xenopsaris albinucha,Tijerilla
Ammodramus humeralis,Cachilo Ceja Amarilla
Zonotrichia capensis,Chingolo
Leistes superciliaris,Pecho Colorado
Spinus magellanicus,Cabecitanegra
Anabacerthia striaticollis,Espinero Pecho Manchado
Anumbius annumbi,Leñatero
Asthenes baeri,Canastero Chaqueño
Asthenes pyrrholeuca,Canastero Coludo
Certhiaxis cinnamomeus,Curutié Colorado
