"","Especie","Codigo","nombrecomun","Primavera","Verano","Otonio","Invierno"
"1","Accipiter striatus","ACC-STR","Esparvero Estriado",2,NA,3,NA
"2","Actitis macularius","ACT-MAC","Playerito Manchado",1,NA,NA,NA
"3","Agelaioides badius","AGE-BAD","Tordo Músico",296,218,346,212
"4","Agelasticus cyanopus","AGE-CYA","Varillero Negro",35,15,37,38
"5","Agelasticus thilius","AGE-THI","Varillero Ala Amarilla",158,195,153,53
"6","Alopochelidon fucata","ALO-FUC","Golondrina Cabeza Rojiza",2,NA,NA,NA
"7","Amazonetta brasiliensis","AMA-BRA","Pato Cutirí",251,150,191,103
"8","Amblyramphus holosericeus","AMB-HOL","Federal",54,34,63,34
"9","Ammodramus humeralis","AMM-HUM","Cachilo Ceja Amarilla",11,3,NA,2
"10","Anabacerthia striaticollis","ANA-STR","Espinero Pecho Manchado",79,38,91,45
"11","Anas bahamensis","ANA-BAH","Pato Gargantilla",5,2,4,1
"12","Anas cyanoptera","ANA-CYA","Pato Colorado",1,NA,NA,1
"13","Anas flavirostris","ANA-FLA","Pato Barcino",170,67,168,177
"14","Anas georgica","ANA-GEO","Pato Maicero",26,7,29,21
"15","Anas sibilatrix","ANA-SIB","Pato Overo",11,1,NA,3
"16","Anhinga anhinga","ANH-ANH","Aninga",65,26,7,8
"17","Anthus correndera","ANT-COR","Cachirla Común",20,2,1,8
"18","Anthus furcatus","ANT-FUR","Cachirla Uña Corta",4,NA,NA,NA
"19","Anthus hellmayri","ANT-HEL","Cachirla Pálida",1,2,NA,NA
"20","Anthus lutescens","ANT-LUT","Cachirla Chica",31,19,8,3
"21","Anumbius annumbi","ANU-ANN","Leñatero",40,39,41,26
"22","Aramides cajanea","ARA-CAJ","Chiricote",2,1,4,9
"23","Aramides ypecaha","ARA-YPE","Ipacaá",187,151,220,121
"24","Aramus guarauna","ARA-GUA","Carau",200,119,221,177
"25","Ardea alba","ARD-ALB","Garza Blanca",236,235,169,88
"26","Ardea cocoi","ARD-COC","Garza Mora",153,88,136,90
"27","Asio flammeus","ASI-FLA","Lechuzón Campestre",1,NA,NA,2
"28","Asthenes baeri","AST-BAE","Canastero Chaqueño",58,39,84,38
"29","Asthenes pyrrholeuca","AST-PYR","Canastero Coludo",1,NA,1,1
"30","Athene cunicularia","ATH-CUN","Lechucita Vizcachera",16,18,8,13
"31","Bartramia longicauda","BAR-LON","Batitú",1,1,NA,1
"32","Basileuterus culicivorus","BAS-CUL","Arañero coronado chico",1,2,3,NA
"33","Bubo virginianus","BUB-VIR","Ñacurutú",19,1,4,9
"34","Bubulcus ibis","BUB-IBI","Garcita Bueyera",349,663,169,9
"35","Busarellus nigricollis","BUS-NIG","Aguilucho Pampa",NA,NA,NA,2
"36","Buteo albicaudatus","BUT-ALB","Aguilucho Langostero",2,2,7,NA
"37","Buteo swainsoni","BUT-SWA","Aguilucho Langostero",1,1,NA,NA
"38","Buteogallus meridionalis","BUT-MER","Aguilucho Colorado",95,90,135,70
"39","Butorides striata","BUT-STR","Garcita Azulada",93,31,10,1
"40","Cacicus solitarius","CAC-SOL","Boyero Negro",13,4,4,11
"41","Calidris bairdii","CAL-BAI","Playerito Unicolor",12,3,NA,NA
"42","Calidris fuscicollis","CAL-FUS","Playerito Rabadilla Blanca",6,2,NA,1
"43","Calidris melanotos","CAL-MEL","Playerito Pectoral",102,265,7,28
"44","Callonetta leucophrys","CAL-LEU","Pato de Collar",301,139,430,153
"45","Campephilus leucopogon","CAM-LEU","Carpintero Lomo Blanco",1,NA,NA,NA
"46","Camptostoma obsoletum","CAM-OBS","Piojito Silbón",7,4,11,5
"47","Caprimulgus longirostris","CAP-LON","Atajacaminos Ñañarca",NA,NA,2,4
"48","Caprimulgus parvulus","CAP-PAR","Atajacaminos Chico",5,1,NA,1
"49","Caracara plancus","CAR-PLA","Carancho",313,343,398,224
"50","Cathartes aura","CAT-AUR","Jote Cabeza Colorada",2,1,1,1
"51","Certhiaxis cinnamomeus","CER-CIN","Curutié Colorado",82,67,125,48
"52","Charadrius collaris","CHA-COL","Chorlito de Collar",2,5,1,4
"53","Charadrius modestus","CHA-MOD","Chorlito Pecho Canela",NA,NA,1,1
"54","Chauna torquata","CHA-TOR","Chajá",1145,1810,1625,594
"55","Chloroceryle amazona","CHL-AMA","Martín Pescador Mediano",5,6,5,9
"56","Chloroceryle americana","CHL-AME","Martín Pescador Chico",26,13,15,19
"57","Chlorostilbon lucidus","CHL-LUC","Picaflor Verde",57,43,2,10
"58","Chroicocephalus cirrocephalus","CHR-CIR","Gaviota capucho gris",2,2,1,2
"59","Chroicocephalus maculipennis","CHR-MAC","Gaviota capucho café",132,8,25,45
"60","Chrysomus ruficapillus","CHR-RUF","Varillero Congo",1087,391,278,445
"61","Ciconia maguari","CIC-MAG","Cigüeña Americana",301,263,347,146
"62","Circus buffoni","CIR-BUF","Gavilán Planeador",67,38,43,46
"63","Circus cinereus","CIR-CIN","Gavilán Ceniciento",3,1,NA,NA
"64","Coccycua cinerea","COC-CIN","Cuclillo Chico",27,14,3,NA
"65","Coccyzus melacoryphus","COC-MEL","Cuclillo Canela",25,14,NA,NA
"66","Colaptes campestris","COL-CAM","Carpintero Barba Negra",32,9,28,15
"67","Colaptes melanochloros","COL-MEL","Carpintero Real Verde",93,77,68,45
"68","Columba livia","COL-LIV","Paloma Doméstica",51,17,31,60
"69","Columbina picui","COL-PIC","Torcacita Picuí",136,316,198,62
"70","Columbina talpacoti","COL-TAL","Torcacita Colorada",NA,NA,2,2
"71","Coragyps atratus","COR-ATR","Jote Cabeza Negra",11,9,10,9
"72","Coryphistera alaudina","COR-ALA","Crestudo",18,21,44,14
"73","Coryphospingus cucullatus","COR-CUC","Brasita de fuego",NA,1,5,1
"74","Coscoroba coscoroba","COS-COS","Coscoroba",168,64,218,74
"75","Cranioleuca pyrrhophia","CRA-PYR","Curutié Blanco",60,60,60,44
"76","Cyanoloxia brissonii","CYA-BRI","Reinamora Grande",2,2,4,NA
"77","Cyanoloxia glaucocaerulea","CYA-GLA","Reinamora chica",1,3,NA,NA
"78","Cyclarhis gujanensis","CYC-GUJ","Juan Chiviro",37,15,22,18
"79","Cygnus melancoryphus","CYG-MEL","Cisne Cuello Negro",72,8,148,59
"80","Dendrocygna autumnalis","DEN-AUT","Sirirí Vientre Negro",47,45,15,5
"81","Dendrocygna bicolor","DEN-BIC","Sirirí Colorado",1125,283,28,316
"82","Dendrocygna viduata","DEN-VID","Sirirí Pampa",458,192,99,300
"83","Donacospiza albifrons","DON-ALB","Cachilo canela",6,4,3,5
"84","Drymornis bridgesii","DRY-BRI","Chinchero Grande",41,31,36,24
"85","Egretta thula","EGR-THU","Garcita Blanca",175,143,128,31
"86","Elaenia albiceps","ELA-ALB","Fiofío Silbón",NA,NA,1,NA
"87","Elaenia parvirostris","ELA-PAR","Fiofío Pico Corto",55,13,8,2
"88","Elanus leucurus","ELA-LEU","Milano Blanco",6,6,NA,7
"89","Embernagra platensis","EMB-PLA","Verdón",77,56,89,44
"90","Empidonomus aurantioatrocristatus","EMP-AUR","Tuquito gris",58,68,1,1
"91","Euscarthmus meloryphus","EUS-MEL","Barullero",16,4,NA,NA
"92","Falco femoralis","FAL-FEM","Halcón Plomizo",NA,2,2,NA
"93","Falco peregrinus","FAL-PER","Halcón Peregrino",NA,1,NA,NA
"94","Falco sparverius","FAL-SPA","Halconcito Colorado",10,19,19,13
"95","Fluvicola pica","FLU-PIC","Viudita Lomo Negro",108,26,5,5
"96","Fulica armillata","FUL-ARM","Gallareta Ligas Rojas",46,7,58,9
"97","Fulica leucoptera","FUL-LEU","Gallareta Chica",78,4,23,21
"98","Fulica rufifrons","FUL-RUF","Gallareta Escudete Rojo",27,13,46,54
"99","Furnarius rufus","FUR-RUF","Hornero",581,662,549,215
"100","Gallinago paraguaiae","GAL-PAR","Becasina de Bañado",76,65,53,38
"101","Gallinula chloropus","GAL-CHL","Pollona Negra",267,98,421,124
"102","Gallinula melanops","GAL-MEL","Pollona Pintada",140,23,61,85
"103","Geothlypis aequinoctialis","GEO-AEQ","Arañero cara negra",61,36,6,8
"104","Geranospiza caerulescens","GER-CAE","Gavilán Patas Largas",NA,NA,NA,1
"105","Glaucidium brasilianum","GLA-BRA","Caburé Chico",12,3,8,4
"106","Gnorimopsar chopi","GNO-CHO","Chopí",2,6,NA,NA
"107","Guira guira","GUI-GUI","Pirincho",230,174,234,91
"108","Heliomaster furcifer","HEL-FUR","Picaflor de Barbijo",3,1,NA,NA
"109","Hemitriccus margaritaceiventer","HEM-MAR","Mosqueta Ojo Dorado",NA,1,NA,1
"110","Heteronetta atricapilla","HET-ATR","Pato Cabeza Negra",9,NA,76,1
"111","Himantopus mexicanus","HIM-MEX","Tero real",212,140,266,119
"112","Hirundo rustica","HIR-RUS","Golondrina Tijerita",168,47,5,3
"113","Hydropsalis torquata","HYD-TOR","Atajacaminos Tijera",15,2,9,5
"114","Hylocharis chrysura","HYL-CHR","Picaflor Bronceado",25,25,21,6
"115","Hymenops perspicillatus","HYM-PER","Pico de Plata",144,97,229,113
"116","Icterus pyrrhopterus","ICT-PYR","Boyerito",28,20,77,26
"117","Ixobrychus involucris","IXO-INV","Mirasol Estriado",NA,2,1,2
"118","Jacana jacana","JAC-JAC","Jacana",378,369,412,171
"119","Knipolegus cyanirostris","KNI-CYA","Viudita Pico Celeste",3,NA,NA,1
"120","Larus dominicanus","LAR-DOM","Gaviota Cocinera",NA,1,11,13
"121","Laterallus melanophaius","LAT-MEL","Burrito Canela",16,9,7,3
"122","Lathrotriccus euleri","LAT-EUL","Mosqueta Parda",1,2,NA,1
"123","Leistes superciliaris","LEI-SUP","Pecho Colorado",31,15,6,2
"124","Lepidocolaptes angustirostris","LEP-ANG","Chinchero Chico",113,84,94,62
"125","Leptasthenura platensis","LEP-PLA","Coludito Copetón",60,36,77,48
"126","Leptotila verreauxi","LEP-VER","Yerutí Gris",54,36,30,46
"127","Lessonia rufa","LES-RUF","Sobrepuesto Austral",NA,3,71,30
"128","Leucochloris albicollis","LEU-ALB","Picaflor Garganta Blanca",NA,1,NA,1
"129","Limnoctites rectirostris","LIM-REC","Pajonalera Pico Recto",6,NA,2,5
"130","Limnornis curvirostris","LIM-CUR","Pajonalera Pico Curvo",36,13,33,13
"131","Machetornis rixosa","MAC-RIX","Picabuey",91,82,125,65
"132","Megaceryle torquata","MEG-TOR","Martín Pescador Grande",20,16,12,8
"133","Megascops choliba","MEG-CHO","Alilicucú Común",4,NA,2,2
"134","Melanerpes cactorum","MEL-CAC","Carpintero del Cardón",141,90,92,50
"135","Melanerpes candidus","MEL-CAN","Carpintero Blanco",50,38,44,15
"136","Microspingus cabanisi","MIC-CAB","Monterita Litoraleña",1,NA,1,3
"137","Microspingus melanoleucus","MIC-MEL","Monterita Cabeza Negra",79,55,85,47
"138","Milvago chimachima","MIL-CHI","Chimachima",1,11,3,NA
"139","Milvago chimango","MIL-CHI","Chimango",133,81,109,53
"140","Mimus patagonicus","MIM-PAT","Calandria Mora",NA,NA,1,NA
"141","Mimus saturninus","MIM-SAT","Calandria Grande",191,136,206,121
"142","Mimus triurus","MIM-TRI","Calandria Real",6,8,56,24
"143","Molothrus bonariensis","MOL-BON","Tordo Renegrido",431,416,675,360
"144","Molothrus rufoaxillaris","MOL-RUF","Tordo Pico Corto",105,76,32,32
"145","Muscisaxicola maclovianus","MUS-MAC","Dormilona Cara Negra",NA,NA,NA,1
"146","Mycteria americana","MYC-AME","Tuyuyú",157,233,95,8
"147","Myiarchus ferox","MYI-FER","Burlisto Pico Negro",NA,1,NA,NA
"148","Myiarchus swainsoni","MYI-SWA","Burlisto Pico Canela",17,11,NA,NA
"149","Myiodynastes maculatus","MYI-MAC","Benteveo rayado",13,11,NA,NA
"150","Myiophobus fasciatus","MYI-FAS","Mosqueta Estriada",21,11,1,3
"151","Myiopsitta monachus","MYI-MON","Cotorra",1919,1934,2663,861
"152","Neoxolmis rufiventris","NEO-RUF","Monjita Chocolate",NA,NA,1,NA
"153","Netta peposaca","NET-PEP","Pato Picazo",442,95,161,151
"154","Nomonyx dominicus","NOM-DOM","Pato Fierro",49,2,10,2
"155","Nothura maculosa","NOT-MAC","Inambú Campestre",28,6,16,18
"156","Notiochelidon cyanoleuca","NOT-CYA","Golondrina Barranquera",46,16,114,13
"157","Nycticorax nycticorax","NYC-NYC","Garza Bruja",110,54,22,10
"158","Nycticryphes semicollaris","NYC-SEM","Aguatero",7,1,NA,2
"159","Pachyramphus polychopterus","PAC-POL","Anambé Negro",11,8,1,NA
"160","Pandion haliaetus","PAN-HAL","Águila Pescadora",1,NA,NA,NA
"161","Parabuteo unicinctus","PAR-UNI","Gavilán Mixto",7,25,2,7
"162","Pardirallus maculatus","PAR-MAC","Gallineta Overa",28,1,4,NA
"163","Pardirallus sanguinolentus","PAR-SAN","Gallineta Pico Pintado",77,34,49,28
"164","Paroaria capitata","PAR-CAP","Cardenilla",25,13,35,21
"165","Paroaria coronata","PAR-COR","Cardenal Copete Rojo",293,274,397,282
"166","Passer domesticus","PAS-DOM","Gorrión",141,144,143,96
"167","Patagioenas maculosa","PAT-MAC","Paloma Manchada",172,100,115,75
"168","Patagioenas picazuro","PAT-PIC","Paloma Picazuró",119,278,151,73
"169","Petrochelidon pyrrhonota","PET-PYR","Golondrina Rabadilla Canela",1088,3,NA,NA
"170","Phacellodomus ruber","PHA-RUB","Espinero Grande",1,NA,NA,NA
"171","Phacellodomus sibilatrix","PHA-SIB","Espinero Chico",66,38,51,33
"172","Phaetusa simplex","PHA-SIM","Atí",1,4,1,1
"173","Phalacrocorax brasilianus","PHA-BRA","Biguá",248,198,145,101
"174","Phalaropus tricolor","PHA-TRI","Falaropo común",9,1,NA,NA
"175","Phimosus infuscatus","PHI-INF","Cuervillo Cara Pelada",996,583,485,227
"176","Phleocryptes melanops","PHL-MEL","Junquero",78,24,43,38
"177","Phoenicopterus chilensis","PHO-CHI","Flamenco Austral",NA,NA,30,NA
"178","Phylloscartes ventralis","PHY-VEN","Mosqueta Carasucia",NA,1,1,3
"179","Phytotoma rutila","PHY-RUT","Cortarramas",33,27,93,62
"180","Picumnus cirratus","PIC-CIR","Carpinterito Barrado",2,6,1,3
"181","Pipraeidea bonariensis","PIP-BON","Naranjero",36,18,22,12
"182","Pipraeidea melanonota","PIP-MEL","Saíra de antifaz",NA,NA,1,NA
"183","Piranga flava","PIR-FLA","Fueguero común",1,6,8,11
"184","Pitangus sulphuratus","PIT-SUL","Benteveo",297,297,344,187
"185","Platalea ajaja","PLA-AJA","Espátula Rosada",193,117,69,34
"186","Plegadis chihi","PLE-CHI","Cuervillo de Cañada",1919,2068,1030,681
"187","Pluvialis dominica","PLU-DOM","Chorlo Pampa",4,15,NA,NA
"188","Podager nacunda","POD-NAC","Ñacundá",67,34,1,21
"189","Podiceps major","POD-MAJ","Macá Grande",9,8,15,8
"190","Podilymbus podiceps","POD-POD","Macá Pico Grueso",36,11,26,18
"191","Polioptila dumicola","POL-DUM","Tacuarita Azul",110,174,171,95
"192","Polystictus pectoralis","POL-PEC","Tachurí Canela",2,2,1,NA
"193","Porphyrio martinica","POR-MAR","Pollona azul",11,3,1,NA
"194","Progne chalybea","PRO-CHA","Golondrina Doméstica",85,30,NA,19
"195","Progne elegans","PRO-ELE","Golondrina Negra",7,NA,NA,NA
"196","Progne tapera","PRO-TAP","Golondrina Parda",530,887,160,33
"197","Pseudocolopteryx flaviventris","PSE-FLA","Doradito Pampeano",37,19,25,10
"198","Pseudocolopteryx sclateri","PSE-SCL","Doradito Copetón",2,NA,NA,NA
"199","Pseudoleistes virescens","PSE-VIR","Pecho Amarillo",248,231,227,152
"200","Pseudoseisura lophotes","PSE-LOP","Cacholote Castaño",90,79,145,59
"201","Pyrocephalus rubinus","PYR-RUB","Churrinche",178,120,78,42
"202","Rhea americana","RHE-AME","Ñandú",22,15,1,4
"203","Rhynchotus rufescens","RHY-RUF","Colorada",6,NA,NA,3
"204","Riparia riparia","RIP-RIP","Golondrina Zapadora",11,24,1,NA
"205","Rollandia rolland","ROL-ROL","Macá Cara Blanca",38,4,84,16
"206","Rostrhamus sociabilis","ROS-SOC","Caracolero",492,256,71,96
"207","Rupornis magnirostris","RUP-MAG","Taguató",55,50,110,68
"208","Rynchops niger","RYN-NIG","Rayador",1,NA,NA,1
"209","Saltator aurantiirostris","SAL-AUR","Pepitero de collar",77,56,56,43
"210","Saltator coerulescens","SAL-COE","Pepitero gris",40,20,41,29
"211","Saltator similis","SAL-SIM","Pepitero verdoso",1,3,8,3
"212","Saltatricula multicolor","SAL-MUL","Pepitero chico",3,2,NA,NA
"213","Sarkidiornis melanotos","SAR-MEL","Pato Crestudo Africano",NA,1,NA,NA
"214","Satrapa icterophrys","SAT-ICT","Suirirí Amarillo",50,20,20,29
"215","Schoeniophylax phryganophilus","SCH-PHR","Chotoy",138,121,108,58
"216","Serpophaga griseicapilla","SER-GRI","Piojito Trinador",12,2,23,7
"217","Serpophaga nigricans","SER-NIG","Piojito Gris",56,31,42,42
"218","Serpophaga subcristata","SER-SUB","Piojito Tiquitiqui",45,48,86,36
"219","Setophaga pitiayumi","SET-PIT","Pitiayumí",6,NA,16,13
"220","Sicalis flaveola","SIC-FLA","Jilguero dorado",281,319,118,75
"221","Sicalis luteola","SIC-LUT","Misto",336,32,27,26
"222","Spartonoica maluroides","SPA-MAL","Espartillero Enano",1,NA,3,1
"223","Spatula platalea","SPA-PLA","Pato Cuchara",4,1,9,11
"224","Spatula versicolor","SPA-VER","Pato Capuchino",123,55,127,83
"225","Spinus magellanicus","SPI-MAG","Cabecitanegra",170,110,123,96
"226","Spizaetus melanoleucus","SPI-MEL","Águila Viuda",NA,NA,3,NA
"227","Sporophila caerulescens","SPO-CAE","Corbatita",95,118,36,3
"228","Sporophila cinnamomea","SPO-CIN","Capuchino Corona Gris",1,3,NA,NA
"229","Sporophila collaris","SPO-COL","Corbatita dominó",10,4,7,16
"230","Sporophila hypoxantha","SPO-HYP","Capuchino canela",2,1,NA,NA
"231","Sporophila nigrorufa","SPO-NIG","Siete Vestidos Pampeano",85,46,73,35
"232","Sporophila palustris","SPO-PAL","Capuchino Pecho Blanco",NA,7,NA,NA
"233","Sporophila ruficollis","SPO-RUF","Capuchino garganta café",3,1,NA,NA
"234","Stelgidopteryx ruficollis","STE-RUF","Golondrina Ribereña",37,NA,NA,NA
"235","Stephanophorus diadematus","STE-DIA","Frutero azul",2,1,NA,1
"236","Sterna trudeaui","STE-TRU","Gaviotín Lagunero",2,2,NA,4
"237","Sternula superciliaris","STE-SUP","Gaviotín de Río",NA,1,1,2
"238","Sturnus vulgaris","STU-VUL","Estornino Pinto",33,39,22,7
"239","Sublegatus modestus","SUB-MOD","Suirirí Pico Corto",16,1,2,3
"240","Suiriri suiriri","SUI-SUI","Suirirí Gris",48,51,41,31
"241","Synallaxis albescens","SYN-ALB","Pijuí Cola Parda",33,18,6,5
"242","Synallaxis frontalis","SYN-FRO","Pijuí Frente Gris",47,37,37,23
"243","Synallaxis spixi","SYN-SPI","Pijuí Plomizo",6,2,4,1
"244","Syrigma sibilatrix","SYR-SIB","Chiflón",55,35,56,41
"245","Tachuris rubrigastra","TAC-RUB","Tachurí Sietecolores",14,6,23,13
"246","Tachybaptus dominicus","TAC-DOM","Macá Gris",NA,1,NA,NA
"247","Tachycineta leucopyga","TAC-LEU","Golondrina Patagónica",1,2,155,34
"248","Tachycineta leucorrhoa","TAC-LEU","Golondrina Ceja Blanca",340,239,261,46
"249","Tapera naevia","TAP-NAE","Crespín",21,10,NA,1
"250","Taraba major","TAR-MAJ","Chororó",6,1,2,1
"251","Tarphonomus certhioides","TAR-CER","Bandurrita Chaqueña",NA,3,NA,NA
"252","Thamnophilus caerulescens","THA-CAE","Choca Corona Negruzca",1,4,1,NA
"253","Thamnophilus ruficapillus","THA-RUF","Choca Corona Rojiza",17,8,11,7
"254","Theristicus caerulescens","THE-CAE","Bandurria Mora",7,14,14,2
"255","Thraupis sayaca","THR-SAY","Celestino",60,48,50,13
"256","Tigrisoma lineatum","TIG-LIN","Hocó Colorado",69,37,52,40
"257","Tringa flavipes","TRI-FLA","Pitotoy Chico",205,49,2,40
"258","Tringa melanoleuca","TRI-MEL","Pitotoy Grande",19,46,3,4
"259","Tringa solitaria","TRI-SOL","Pitotoy Solitario",22,9,NA,1
"260","Troglodytes aedon","TRO-AED","Ratona",174,73,130,109
"261","Tryngites subruficollis","TRY-SUB","Playerito Canela",1,1,NA,NA
"262","Turdus amaurochalinus","TUR-AMA","Zorzal Chalchalero",38,48,47,41
"263","Turdus rufiventris","TUR-RUF","Zorzal Colorado",73,37,80,46
"264","Tyrannus melancholicus","TYR-MEL","Suirirí Real",93,149,13,NA
"265","Tyrannus savana","TYR-SAV","Tijereta",206,169,NA,6
"266","Tyto alba","TYT-ALB","Lechuza de Campanario",NA,NA,NA,1
"267","Vanellus chilensis","VAN-CHI","Tero",480,463,737,220
"268","Vireo chivi","VIR-CHI","Chiví-chiví",1,2,NA,NA
"269","Volatinia jacarina","VOL-JAC","Volatinero",4,2,NA,NA
"270","Xenopsaris albinucha","XEN-ALB","Tijerilla",51,36,9,1
"271","Xiphorhynchus fuscus","XIP-FUS","Chinchero Enano",NA,1,21,27
"272","Xolmis cinereus","XOL-CIN","Monjita Gris",8,2,5,8
"273","Xolmis coronatus","XOL-COR","Monjita Coronada",NA,NA,31,10
"274","Xolmis dominicanus","XOL-DOM","Monjita Dominica",NA,NA,NA,2
"275","Xolmis irupero","XOL-IRU","Monjita Blanca",105,86,165,84
"276","Zenaida auriculata","ZEN-AUR","Torcaza",557,501,221,191
"277","Zonotrichia capensis","ZON-CAP","Chingolo",325,267,344,171
