"","Especie","Codigo","nombrecomun","Periodo2005-2009","Periodo2010-2014","Periodo2015-2019"
"1","Accipiter striatus","ACC-STR","Esparvero Estriado",1,NA,3
"2","Actitis macularius","ACT-MAC","Playerito Manchado",NA,NA,1
"3","Agelaioides badius","AGE-BAD","Tordo Músico",22,91,942
"4","Agelasticus cyanopus","AGE-CYA","Varillero Negro",9,7,106
"5","Agelasticus thilius","AGE-THI","Varillero Ala Amarilla",6,117,426
"6","Alopochelidon fucata","ALO-FUC","Golondrina Cabeza Rojiza",NA,1,1
"7","Amazonetta brasiliensis","AMA-BRA","Pato Cutirí",57,34,591
"8","Amblyramphus holosericeus","AMB-HOL","Federal",5,25,146
"9","Ammodramus humeralis","AMM-HUM","Cachilo Ceja Amarilla",2,3,9
"10","Anabacerthia striaticollis","ANA-STR","Espinero Pecho Manchado",7,32,202
"11","Anas bahamensis","ANA-BAH","Pato Gargantilla",NA,7,5
"12","Anas cyanoptera","ANA-CYA","Pato Colorado",1,1,NA
"13","Anas flavirostris","ANA-FLA","Pato Barcino",7,53,507
"14","Anas georgica","ANA-GEO","Pato Maicero",9,5,63
"15","Anas sibilatrix","ANA-SIB","Pato Overo",NA,1,14
"16","Anhinga anhinga","ANH-ANH","Aninga",1,4,94
"17","Anthus correndera","ANT-COR","Cachirla Común",2,3,17
"18","Anthus furcatus","ANT-FUR","Cachirla Uña Corta",NA,NA,2
"19","Anthus hellmayri","ANT-HEL","Cachirla Pálida",NA,3,NA
"20","Anthus lutescens","ANT-LUT","Cachirla Chica",9,8,41
"21","Anumbius annumbi","ANU-ANN","Leñatero",13,13,108
"22","Aramides cajanea","ARA-CAJ","Chiricote",NA,NA,15
"23","Aramides ypecaha","ARA-YPE","Ipacaá",10,46,611
"24","Aramus guarauna","ARA-GUA","Carau",5,60,637
"25","Ardea alba","ARD-ALB","Garza Blanca",13,69,627
"26","Ardea cocoi","ARD-COC","Garza Mora",15,43,391
"27","Asio flammeus","ASI-FLA","Lechuzón Campestre",NA,2,1
"28","Asthenes baeri","AST-BAE","Canastero Chaqueño",8,44,150
"29","Asthenes pyrrholeuca","AST-PYR","Canastero Coludo",NA,1,2
"30","Athene cunicularia","ATH-CUN","Lechucita Vizcachera",6,20,21
"31","Bartramia longicauda","BAR-LON","Batitú",NA,NA,3
"32","Basileuterus culicivorus","BAS-CUL","Arañero coronado chico",NA,NA,6
"33","Bubo virginianus","BUB-VIR","Ñacurutú",NA,5,27
