Orden,Familia,Especie,Codigo,nombrecomun
Accipitriformes,Accipitridae,Accipiter striatus,ACC-STR,Esparvero Estriado
Accipitriformes,Accipitridae,Busarellus nigricollis,BUS-NIG,Aguilucho Pampa
Accipitriformes,Accipitridae,Buteo albicaudatus,BUT-ALB,Aguilucho Langostero
Accipitriformes,Accipitridae,Buteo swainsoni,BUT-SWA,Aguilucho Langostero
Accipitriformes,Accipitridae,Buteogallus meridionalis,BUT-MER,Aguilucho Colorado
Accipitriformes,Accipitridae,Circus buffoni,CIR-BUF,Gavilán Planeador
Accipitriformes,Accipitridae,Circus cinereus,CIR-CIN,Gavilán Ceniciento
Accipitriformes,Accipitridae,Elanus leucurus,ELA-LEU,Milano Blanco
Accipitriformes,Accipitridae,Geranospiza caerulescens,GER-CAE,Gavilán Patas Largas
Accipitriformes,Accipitridae,Parabuteo unicinctus,PAR-UNI,Gavilán Mixto
Accipitriformes,Accipitridae,Rostrhamus sociabilis,ROS-SOC,Caracolero
Accipitriformes,Accipitridae,Rupornis magnirostris,RUP-MAG,Taguató
Accipitriformes,Accipitridae,Spizaetus melanoleucus,SPI-MEL,Águila Viuda
Accipitriformes,Cathartidae,Cathartes aura,CAT-AUR,Jote Cabeza Colorada
Accipitriformes,Cathartidae,Coragyps atratus,COR-ATR,Jote Cabeza Negra
Accipitriformes,Pandionidae,Pandion haliaetus,PAN-HAL,Águila Pescadora
Anseriformes,Anatidae,Amazonetta brasiliensis,AMA-BRA,Pato Cutirí
Anseriformes,Anatidae,Anas bahamensis,ANA-BAH,Pato Gargantilla
Anseriformes,Anatidae,Anas cyanoptera,ANA-CYA,Pato Colorado
Anseriformes,Anatidae,Anas flavirostris,ANA-FLA,Pato Barcino
Anseriformes,Anatidae,Anas georgica,ANA-GEO,Pato Maicero
Anseriformes,Anatidae,Anas sibilatrix,ANA-SIB,Pato Overo
Anseriformes,Anatidae,Callonetta leucophrys,CAL-LEU,Pato de Collar
Anseriformes,Anatidae,Coscoroba coscoroba,COS-COS,Coscoroba
Anseriformes,Anatidae,Cygnus melancoryphus,CYG-MEL,Cisne Cuello Negro
Anseriformes,Anatidae,Dendrocygna autumnalis,DEN-AUT,Sirirí Vientre Negro
Anseriformes,Anatidae,Dendrocygna bicolor,DEN-BIC,Sirirí Colorado
